player_id,full_name,status,position,team
1166,Kirk Cousins,Inactive,QB,MIN
8043,Jordyn Peters,Active,DB,NYG
6651,Anthony Pittman,Active,LB,DET
4439,Breon Borders,Active,CB,TEN
8064,Max Roberts,Active,LB,LAR
6905,Matt Peart,Active,OT,NYG
1181,Luke Kuechly,Injured Reserve,LB,CAR
5648,Tyler Howell,Active,OT,NYG
6153,Dexter Williams,Active,RB,GB
7126,Justin Herron,Active,OL,NE
1578,Alex Okafor,Active,DE,KC
3716,Kentrell Brice,Active,FS,ARI
7622,Sammis Reyes,Active,TE,WAS
6779,Jordan Harris,Active,WR,LAR
1833,Damien Williams,Active,RB,CHI
3763,Woodrow Hamilton,Active,DT,TEN
2323,Marcus Peters,Active,CB,BAL
6443,Eric Dungey,Active,QB,CIN
7420,Josh Hokit,Active,FB,SF
5452,J.T. Gray,Active,DB,NO
6926,Brycen Hopkins,Active,TE,LAR
1982,Aaron Colvin,Active,CB,WAS
5448,Robert Jackson,Active,CB,CLE
6141,Drue Tranquill,Active,LB,LAC
5888,Amani Oruwariye,Active,CB,DET
6903,Lloyd Cushenberry,Active,C,DEN
7084,Jake Luton,Active,QB,JAX
6039,Ty Johnson,Active,RB,NYJ
6065,Cody Barton,Active,LB,SEA
6139,Jace Sternberger,Inactive,TE,GB
6985,Dezmon Patmon,Active,WR,IND
2410,Jamison Crowder,Active,WR,NYJ
7251,Jovante Moffatt,Active,DB,CLE
7673,Chazz Surratt,Active,LB,MIN
8070,Travis Toivonen,Active,WR,SEA
4117,Derek Rivers,Active,DE,HOU
5806,John Wolford,Active,QB,LAR
4930,Franko House,Active,TE,CHI
3209,Devontae Booker,Active,RB,NYG
2535,Mark Nzeocha,Active,LB,SF
6764,Derrick Moncrief,Active,LB,LAR
928,Randall Cobb,Active,WR,GB
7313,Liam McCullough,Active,LS,LV
7954,Connor Wedington,Active,WR,SEA
6286,Tim Harris,Active,CB,SF
24,Matt Ryan,Active,QB,ATL
225,L.P. LaDouceur,Active,LS,DAL
7721,Chris Rumph,Active,DE,LAC
4288,Chase Roullier,Active,C,WAS
6674,Garrett McGhin,Active,OT,JAX
